traj_cluster_ra,no2_5y_z,pm25_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_prob
2,1.6,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.2795897056274807
2,1.7000000000000002,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.2865711091711587
2,1.8000000000000003,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.2936557799432778
2,1.9000000000000004,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.30084174196895436
2,2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.30812684084029607
3,-2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.440753531823511
3,-1.9,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.44498059152711733
3,-1.8,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.44921562735926607
3,-1.7,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.45345803872574253
3,-1.6,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.45770722077046216
3,-1.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.4619625647151096
3,-1.4,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.4662234582036532
3,-1.2999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.4704892856511928
3,-1.2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.47475942859678627
3,-1.1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.47903326605989305
3,-1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.48331017489986655
3,-0.8999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.4875895301781687
3,-0.7999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.49187070552277634
3,-0.7,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.49615307349444127
3,-0.5999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5004360059542092
3,-0.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5047188744318531
3,-0.3999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5090010504946774
3,-0.2999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5132819061163446
3,-0.19999999999999996,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5175608140451273
3,-0.09999999999999987,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5218371481712352
3,0,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5261102838926779
3,0.10000000000000009,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5303795984793236
3,0.20000000000000018,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5346444714345693
3,0.30000000000000027,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5389042848542397
3,0.40000000000000036,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5431584237823428
3,0.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5474062765631136
3,0.6000000000000001,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5516472351890349
3,0.7000000000000002,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5558806956443363
3,0.8000000000000003,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5601060582436768
3,0.9000000000000004,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5643227279654728
3,1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5685301147796019
3,1.1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5727276339690229
3,1.2000000000000002,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5769147064450628
3,1.3000000000000003,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5810907590558844
3,1.4000000000000004,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5852552248879114
3,1.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5894075435598091
3,1.6,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5935471615088235
3,1.7000000000000002,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5976735322690614
3,1.8000000000000003,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6017861167414987
3,1.9000000000000004,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6058843834555202
3,2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6099678088216208
4,-2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.3945677153424145
4,-1.9,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.40123581909586487
4,-1.8,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.40794068206261236
4,-1.7,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.4146799911877365
4,-1.6,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.4214513827789309
4,-1.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.4282524456250249
4,-1.4,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.43508072426161354
4,-1.2999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.44193372237488293
