traj_cluster_ra,h,rs,n,prop
2,50,NIV,34,0.05811965811965812
2,50,OTHER,1,0.0017094017094017094
2,50,ROOM AIR,24,0.041025641025641026
2,51,IMV,7,0.011965811965811967
2,51,LOW_O2,526,0.8991452991452992
2,51,NIV,35,0.05982905982905983
2,51,OTHER,1,0.0017094017094017094
2,51,ROOM AIR,16,0.02735042735042735
2,52,IMV,7,0.011965811965811967
2,52,LOW_O2,526,0.8991452991452992
2,52,NIV,35,0.05982905982905983
2,52,OTHER,1,0.0017094017094017094
2,52,ROOM AIR,16,0.02735042735042735
2,53,IMV,7,0.011965811965811967
2,53,LOW_O2,532,0.9094017094017094
2,53,NIV,32,0.0547008547008547
2,53,OTHER,2,0.003418803418803419
2,53,ROOM AIR,12,0.020512820512820513
2,54,IMV,8,0.013675213675213675
2,54,LOW_O2,531,0.9076923076923077
2,54,NIV,31,0.05299145299145299
2,54,OTHER,1,0.0017094017094017094
2,54,ROOM AIR,14,0.023931623931623933
2,55,IMV,7,0.011965811965811967
2,55,LOW_O2,532,0.9094017094017094
2,55,NIV,35,0.05982905982905983
2,55,OTHER,1,0.0017094017094017094
2,55,ROOM AIR,10,0.017094017094017096
2,56,IMV,8,0.013675213675213675
2,56,LOW_O2,521,0.8905982905982905
2,56,NIV,39,0.06666666666666667
2,56,ROOM AIR,17,0.02905982905982906
2,57,IMV,8,0.013675213675213675
2,57,LOW_O2,511,0.8735042735042735
2,57,NIV,42,0.07179487179487179
2,57,ROOM AIR,24,0.041025641025641026
2,58,IMV,8,0.013675213675213675
2,58,LOW_O2,507,0.8666666666666667
2,58,NIV,45,0.07692307692307693
2,58,ROOM AIR,25,0.042735042735042736
2,59,IMV,8,0.013675213675213675
2,59,LOW_O2,500,0.8547008547008547
2,59,NIV,42,0.07179487179487179
2,59,ROOM AIR,35,0.05982905982905983
2,60,IMV,10,0.017094017094017096
2,60,LOW_O2,495,0.8461538461538461
2,60,NIV,42,0.07179487179487179
2,60,ROOM AIR,38,0.06495726495726496
2,61,IMV,10,0.017094017094017096
2,61,LOW_O2,490,0.8376068376068376
2,61,NIV,43,0.0735042735042735
2,61,ROOM AIR,42,0.07179487179487179
2,62,IMV,9,0.015384615384615385
2,62,LOW_O2,492,0.841025641025641
2,62,NIV,43,0.0735042735042735
2,62,OTHER,1,0.0017094017094017094
2,62,ROOM AIR,40,0.06837606837606838
2,63,IMV,8,0.013675213675213675
2,63,LOW_O2,489,0.8358974358974359
2,63,NIV,43,0.0735042735042735
2,63,OTHER,1,0.0017094017094017094
2,63,ROOM AIR,44,0.07521367521367521
2,64,IMV,8,0.013675213675213675
2,64,LOW_O2,488,0.8341880341880342
2,64,NIV,41,0.07008547008547009
2,64,OTHER,1,0.0017094017094017094
2,64,ROOM AIR,47,0.08034188034188035
2,65,IMV,8,0.013675213675213675
2,65,LOW_O2,488,0.8341880341880342
2,65,NIV,42,0.07179487179487179
2,65,OTHER,1,0.0017094017094017094
2,65,ROOM AIR,46,0.07863247863247863
2,66,IMV,9,0.015384615384615385
2,66,LOW_O2,474,0.8102564102564103
2,66,NIV,47,0.08034188034188035
2,66,OTHER,1,0.0017094017094017094
2,66,ROOM AIR,54,0.09230769230769231
2,67,IMV,11,0.018803418803418803
2,67,LOW_O2,471,0.8051282051282052
2,67,NIV,43,0.0735042735042735
2,67,ROOM AIR,60,0.10256410256410256
2,68,IMV,11,0.018803418803418803
2,68,LOW_O2,463,0.7914529914529914
2,68,NIV,44,0.07521367521367521
2,68,ROOM AIR,67,0.11452991452991453
2,69,IMV,10,0.017094017094017096
2,69,LOW_O2,461,0.788034188034188
2,69,NIV,45,0.07692307692307693
2,69,ROOM AIR,69,0.11794871794871795
2,70,IMV,11,0.018803418803418803
2,70,LOW_O2,455,0.7777777777777778
2,70,NIV,44,0.07521367521367521
2,70,ROOM AIR,75,0.1282051282051282
2,71,IMV,10,0.017094017094017096
2,71,LOW_O2,447,0.764102564102564
2,71,NIV,45,0.07692307692307693
2,71,ROOM AIR,83,0.14188034188034188
2,72,IMV,9,0.015384615384615385
2,72,LOW_O2,441,0.7538461538461538
2,72,NIV,47,0.08034188034188035
2,72,ROOM AIR,88,0.15042735042735042
3,0,IMV,3,0.009933774834437087
3,0,LOW_O2,37,0.12251655629139073
3,0,NIV,260,0.8609271523178808
3,0,OTHER,1,0.0033112582781456954
3,0,ROOM AIR,1,0.0033112582781456954
3,1,IMV,3,0.009933774834437087
