pooled_cluster,pooled_cluster_label,h,arf,n,prop
2,Cluster 2: Resolving ARF,0,Hypoxemic ARF,74,0.018920992073638454
2,Cluster 2: Resolving ARF,0,Mixed ARF,65,0.016619790334952696
2,Cluster 2: Resolving ARF,0,No ARF,3697,0.9452825364356942
2,Cluster 2: Resolving ARF,1,Hypercapnic ARF,95,0.024334016393442622
2,Cluster 2: Resolving ARF,1,Hypoxemic ARF,130,0.033299180327868855
2,Cluster 2: Resolving ARF,1,Mixed ARF,96,0.02459016393442623
2,Cluster 2: Resolving ARF,1,No ARF,3583,0.9177766393442623
2,Cluster 2: Resolving ARF,2,Hypercapnic ARF,104,0.02663934426229508
2,Cluster 2: Resolving ARF,2,Hypoxemic ARF,154,0.03944672131147541
2,Cluster 2: Resolving ARF,2,Mixed ARF,111,0.028432377049180328
2,Cluster 2: Resolving ARF,2,No ARF,3535,0.9054815573770492
2,Cluster 2: Resolving ARF,3,Hypercapnic ARF,116,0.02968270214943705
2,Cluster 2: Resolving ARF,3,Hypoxemic ARF,175,0.044779938587512794
2,Cluster 2: Resolving ARF,3,Mixed ARF,125,0.031985670419651994
2,Cluster 2: Resolving ARF,3,No ARF,3492,0.8935516888433982
2,Cluster 2: Resolving ARF,4,Hypercapnic ARF,122,0.031226004607115432
2,Cluster 2: Resolving ARF,4,Hypoxemic ARF,189,0.04837471205528539
2,Cluster 2: Resolving ARF,4,Mixed ARF,134,0.0342974148963399
2,Cluster 2: Resolving ARF,4,No ARF,3462,0.8861018684412593
2,Cluster 2: Resolving ARF,5,Hypercapnic ARF,122,0.03123399897593446
2,Cluster 2: Resolving ARF,5,Hypoxemic ARF,209,0.05350742447516641
2,Cluster 2: Resolving ARF,5,Mixed ARF,139,0.03558627752176139
2,Cluster 2: Resolving ARF,5,No ARF,3436,0.8796722990271377
2,Cluster 2: Resolving ARF,6,Hypercapnic ARF,129,0.03302611367127496
2,Cluster 2: Resolving ARF,6,Hypoxemic ARF,220,0.05632360471070148
2,Cluster 2: Resolving ARF,6,Mixed ARF,144,0.03686635944700461
2,Cluster 2: Resolving ARF,6,No ARF,3413,0.873783922171019
2,Cluster 2: Resolving ARF,7,Hypercapnic ARF,86,0.022028688524590164
2,Cluster 2: Resolving ARF,7,Hypoxemic ARF,203,0.05199795081967213
2,Cluster 2: Resolving ARF,7,Mixed ARF,101,0.025870901639344263
2,Cluster 2: Resolving ARF,7,No ARF,3514,0.9001024590163934
2,Cluster 2: Resolving ARF,8,Hypercapnic ARF,68,0.017409114183307733
2,Cluster 2: Resolving ARF,8,Hypoxemic ARF,181,0.046338965693804406
2,Cluster 2: Resolving ARF,8,Mixed ARF,84,0.021505376344086023
2,Cluster 2: Resolving ARF,8,No ARF,3573,0.9147465437788018
2,Cluster 2: Resolving ARF,9,Hypercapnic ARF,61,0.015613002303557716
2,Cluster 2: Resolving ARF,9,Hypoxemic ARF,175,0.04479140005119017
2,Cluster 2: Resolving ARF,9,Mixed ARF,78,0.01996416687995905
2,Cluster 2: Resolving ARF,9,No ARF,3593,0.9196314307652931
2,Cluster 2: Resolving ARF,10,Hypercapnic ARF,53,0.013568868407578085
2,Cluster 2: Resolving ARF,10,Hypoxemic ARF,166,0.04249871991807476
2,Cluster 2: Resolving ARF,10,Mixed ARF,70,0.017921146953405017
2,Cluster 2: Resolving ARF,10,No ARF,3617,0.9260112647209422
2,Cluster 2: Resolving ARF,11,Hypercapnic ARF,56,0.014336917562724014
2,Cluster 2: Resolving ARF,11,Hypoxemic ARF,156,0.039938556067588324
2,Cluster 2: Resolving ARF,11,Mixed ARF,62,0.015873015873015872
2,Cluster 2: Resolving ARF,11,No ARF,3632,0.9298515104966718
2,Cluster 2: Resolving ARF,12,Hypercapnic ARF,68,0.017386857581181282
2,Cluster 2: Resolving ARF,12,Hypoxemic ARF,155,0.039631807721810276
2,Cluster 2: Resolving ARF,12,Mixed ARF,56,0.014318588596266939
2,Cluster 2: Resolving ARF,12,No ARF,3632,0.9286627461007415
2,Cluster 2: Resolving ARF,13,Hypercapnic ARF,62,0.015848670756646217
2,Cluster 2: Resolving ARF,13,Hypoxemic ARF,151,0.03859918200408998
2,Cluster 2: Resolving ARF,13,Mixed ARF,53,0.0135480572597137
2,Cluster 2: Resolving ARF,13,No ARF,3646,0.9320040899795501
2,Cluster 2: Resolving ARF,14,Hypercapnic ARF,61,0.015593047034764827
2,Cluster 2: Resolving ARF,14,Hypoxemic ARF,141,0.036042944785276074
2,Cluster 2: Resolving ARF,14,Mixed ARF,48,0.012269938650306749
2,Cluster 2: Resolving ARF,14,No ARF,3662,0.9360940695296524
2,Cluster 2: Resolving ARF,15,Hypercapnic ARF,57,0.014589198873816227
2,Cluster 2: Resolving ARF,15,Hypoxemic ARF,135,0.034553365753775274
2,Cluster 2: Resolving ARF,15,Mixed ARF,45,0.011517788584591758
2,Cluster 2: Resolving ARF,15,No ARF,3670,0.9393396467878168
2,Cluster 2: Resolving ARF,16,Hypercapnic ARF,58,0.014826175869120654
2,Cluster 2: Resolving ARF,16,Hypoxemic ARF,131,0.033486707566462166
2,Cluster 2: Resolving ARF,16,Mixed ARF,43,0.010991820040899795
2,Cluster 2: Resolving ARF,16,No ARF,3680,0.9406952965235174
2,Cluster 2: Resolving ARF,17,Hypercapnic ARF,49,0.012548015364916773
2,Cluster 2: Resolving ARF,17,Hypoxemic ARF,119,0.030473751600512165
2,Cluster 2: Resolving ARF,17,Mixed ARF,43,0.011011523687580026
2,Cluster 2: Resolving ARF,17,No ARF,3694,0.945966709346991
2,Cluster 2: Resolving ARF,18,Hypercapnic ARF,45,0.01151484135107472
2,Cluster 2: Resolving ARF,18,Hypoxemic ARF,111,0.02840327533265097
2,Cluster 2: Resolving ARF,18,Mixed ARF,43,0.011003070624360286
2,Cluster 2: Resolving ARF,18,No ARF,3709,0.9490788126919141
2,Cluster 2: Resolving ARF,19,Hypercapnic ARF,42,0.010738941447200204
2,Cluster 2: Resolving ARF,19,Hypoxemic ARF,98,0.025057530043467145
2,Cluster 2: Resolving ARF,19,Mixed ARF,44,0.011250319611352595
2,Cluster 2: Resolving ARF,19,No ARF,3727,0.9529532088979801
2,Cluster 2: Resolving ARF,20,Hypercapnic ARF,39,0.009971874200971618
