county_code,site_name,county_total,dominant_cluster,dominant_cluster_prop,n_clusters_present,cluster_entropy,county_total_suppressed,dominant_cluster_prop_suppressed,dominant_cluster_suppressed,cluster_entropy_suppressed
54031,Hopkins,3,1,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
54037,Hopkins,60,2,0.6,5,0.9225508686117728,60,0.6,2,0.9225508686117728
54049,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
54055,Hopkins,4,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
54057,Hopkins,4,3,0.5,3,1.0397207708399179,NA,NA,NA,NA
54061,Hopkins,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
54063,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
54065,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
54067,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
54079,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
54081,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
54103,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
55000,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
72000,Hopkins,18,3,0.8888888888888888,3,0.4258484492385814,18,0.8888888888888888,3,0.4258484492385814
