site_name,stratum,pooled_cluster_label,variable,level,summary_type,n,denom,prop,pooled_cluster
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,death_in_hosp,1,categorical,8053,19824,0.40622477804681195,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,death_or_hospice,0,categorical,10831,19824,0.5463579499596449,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,death_or_hospice,1,categorical,8993,19824,0.4536420500403551,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,device_t0,CPAP,categorical,17,17571,9.675032724375391e-4,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,device_t0,FACE MASK,categorical,397,19824,0.020026230831315578,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,device_t0,HIGH FLOW NC,categorical,373,19824,0.01881557707828894,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,device_t0,IMV,categorical,13494,19824,0.6806900726392252,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,device_t0,NASAL CANNULA,categorical,772,19824,0.038942695722356736,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,device_t0,NIPPV,categorical,586,19824,0.029560129136400323,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,device_t0,Other,categorical,41,16991,0.0024130421988111353,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,device_t0,ROOM AIR,categorical,403,19824,0.020328894269572236,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,device_t0,TRACH COLLAR,categorical,35,19824,0.0017655367231638418,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,device_t0,Unknown,categorical,3530,19824,0.17806698950766747,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,device_t0,,categorical,184,18558,0.009914861515249488,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,ethnicity_category,Hispanic,categorical,1218,19824,0.0614406779661017,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,ethnicity_category,Non-Hispanic,categorical,17685,19824,0.8921004842615012,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,ethnicity_category,Unknown,categorical,904,16696,0.05414470531863919,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,ethnicity_category,,categorical,17,1567,0.010848755583918315,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,hospice_discharge,0,categorical,18884,19824,0.9525827280064568,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,hospice_discharge,1,categorical,940,19824,0.04741727199354318,4
