county_code,traj_cluster_ra,n,county_total,prop_cluster_in_county,cluster_total,prop_county_in_cluster,n_suppressed,prop_cluster_in_county_suppressed,prop_county_in_cluster_suppressed,site_name
55095,1,11,22,0.5,4199,0.002619671350321505,11,0.5,0.002619671350321505,umn
55095,2,1,22,0.045454545454545456,1351,7.401924500370096e-4,NA,NA,NA,umn
55095,3,3,22,0.13636363636363635,3180,9.433962264150943e-4,NA,NA,NA,umn
55095,4,6,22,0.2727272727272727,3128,0.0019181585677749361,NA,NA,NA,umn
55095,5,1,22,0.045454545454545456,1490,6.711409395973154e-4,NA,NA,NA,umn
55099,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
55101,1,2,2,1,4199,4.763038818766373e-4,NA,NA,NA,umn
55105,3,1,2,0.5,3180,3.1446540880503143e-4,NA,NA,NA,umn
55105,4,1,2,0.5,3128,3.1969309462915604e-4,NA,NA,NA,umn
55107,4,1,1,1,3128,3.1969309462915604e-4,NA,NA,NA,umn
55109,1,21,59,0.3559322033898305,4199,0.0050011907597046915,21,0.3559322033898305,0.0050011907597046915,umn
55109,2,11,59,0.1864406779661017,1351,0.008142116950407105,11,0.1864406779661017,0.008142116950407105,umn
55109,3,14,59,0.23728813559322035,3180,0.00440251572327044,14,0.23728813559322035,0.00440251572327044,umn
55109,4,10,59,0.1694915254237288,3128,0.00319693094629156,NA,NA,NA,umn
